Factory Name,Factory Type,Product Type,"Nike, Inc. Brand(s)",Supplier Group,City,State,Postal Code,Country/Region,Region,Total Workers
"A & K DESIGNS, INC.",FINISHED GOODS,APPAREL,NIKE,A & K DESIGNS,PORTLAND,OREGON,97220,United States of America,AMERICAS,130
"ACODE SPORTING GOODS CO., LTD",FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),VIETNAM,BíNH DUONG,82617,Vietnam,SE ASIA,289
ADORA FOOTWEAR LIMITED,FINISHED GOODS,FOOTWEAR,Converse,HUALI,NINH BINH PROVINCE,NINH BíNH,8000,Vietnam,SE ASIA,9056
AJARA 1,FINISHED GOODS,APPAREL,NIKE,MILTEKS,KOBULETI,AJARIA,6200,Georgia,EMEA,1061
AJARA TEXTILE LTD,FINISHED GOODS,APPAREL,NIKE,MILTEKS,POTI,SAMEGRELO-ZEMO SVA,4400,Georgia,EMEA,1351
"ALL WELLS INTERNATIONAL CO., LTD.",FINISHED GOODS,FOOTWEAR,NIKE,SPORTS GEAR,PHU MY,BË RA - VUNG TËU,790000,Vietnam,SE ASIA,3273
ALMAXTEX TEKSTIL SANAYI VE TICARET A.S.,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,YESIM,BURSA,BURSA,16580,Turkey,EMEA,3199
ANDBRAVA SRL,FINISHED GOODS,EQUIPMENT,Converse,NO GROUP (EQ),SAN MARTIN,BUENOS AIRES,B1650,Argentina,AMERICAS,7
ANHUI COSMO SPORTING GOODS COMPANY LIMITED,FINISHED GOODS,EQUIPMENT,NIKE,ANHUI COSMO,LU'AN CITY,ANHUI,237321,China,N ASIA,360
ANIGER CALCADOS SUPRIMENTOS E EMPREENDIMENTOS LTDA,FINISHED GOODS,FOOTWEAR,NIKE,ANIGER,CAMPO BOM Ð RS,RIO GRANDE DO SUL,93700-000,Brazil,AMERICAS,372
ANNIC II S.A.,FINISHED GOODS,APPAREL,NIKE,GILDAN,MASATEPE,MANAGUA,0,Nicaragua,AMERICAS,3564
"ANNORA VIETNAM FOOTWEAR CO.,LTD",FINISHED GOODS,FOOTWEAR,NIKE,HUALI,NGHI SON TOWNSHIP,THANH HîA,450000,Vietnam,SE ASIA,19958
ARTFX CONCORD,FINISHED GOODS,APPAREL,NIKE,TEGRA,CONCORD,NORTH CAROLINA,28025,United States of America,AMERICAS,113
ARTFX INC,FINISHED GOODS,APPAREL,NIKE,TEGRA,NORFOLK,VIRGINIA,23502,United States of America,AMERICAS,534
ASENA 3 TEXTIL S.R.L.,FINISHED GOODS,APPAREL,NIKE,YESIM,CEADIR LUNGA,,7401,Moldova,EMEA,352
ASENA 4,FINISHED GOODS,APPAREL,NIKE,YESIM,"KONGAZ,COMRAT",GAGAUZIA-- UNITATE,3819,Moldova,EMEA,798
